cod_inst;programas2021;programas2022;programas2023;programas2024;programas2025;categoria;desagregacion;cod_tab
1;631;323;507;551;313;0;0;1000
1;120;40;20;24;22;1;4;1104
1;368;189;377;389;190;1;5;1105
1;111;51;39;100;42;1;7;1107
1;32;43;71;38;59;1;9;1109
1;89;182;355;374;185;2;1;1201
1;194;20;9;;;2;2;1202
1;36;7;22;15;5;2;3;1203
1;312;114;121;162;123;2;4;1204
1;283;202;364;374;185;3;1;1301
1;36;7;22;15;5;3;2;1302
1;312;114;121;162;123;3;3;1303
2;2961;2882;2867;2656;2638;0;0;2000
2;5;13;;;;1;1;2101
2;154;168;187;165;143;1;4;2104
2;1772;1760;1917;1898;1954;1;5;2105
2;21;58;59;66;76;1;6;2106
2;709;568;444;220;227;1;7;2107
2;;;;48;3;1;8;2108
2;300;315;257;256;232;1;9;2109
2;;;3;3;3;1;10;2110
2;2107;2010;2170;2092;2190;2;1;2201
2;597;524;187;105;47;2;2;2202
2;177;309;333;340;312;2;3;2203
2;80;39;177;119;89;2;4;2204
2;2704;2509;2357;2197;2237;3;1;2301
2;177;334;333;340;312;3;2;2302
2;80;39;177;119;89;3;3;2303
3;4027;4072;5154;5338;5308;0;0;3000
3;243;200;242;320;392;1;1;3101
3;103;135;161;144;151;1;4;3104
3;2663;2778;3380;3474;3549;1;5;3105
3;11;20;65;85;113;1;6;3106
3;568;526;807;790;520;1;7;3107
3;172;180;176;144;157;1;8;3108
3;251;211;298;358;397;1;9;3109
3;16;22;25;23;29;1;10;3110
3;2911;3076;3780;4003;4198;2;1;3201
3;916;732;552;473;470;2;2;3202
3;68;35;161;173;224;2;3;3203
3;132;217;661;689;416;2;4;3204
3;;12;;;;2;5;3205
3;3827;3820;4332;4476;4668;3;1;3301
3;68;35;161;173;224;3;2;3302
3;132;217;661;689;416;3;3;3303
4;4000;3885;3466;4355;4854;0;0;4000
4;232;174;92;;;1;2;4102
4;287;212;;;;1;3;4103
4;174;88;22;25;20;1;4;4104
4;2162;2344;2652;3196;3506;1;5;4105
4;173;158;64;160;295;1;7;4107
4;59;32;20;33;54;1;8;4108
